arm	flow	exit	packets	bytes	dts	chunk_rsp	negotiated	verdict
A0-dts1024	dts1024	0	34	6766	1024	6	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
A0-dts2048	dts2048	0	22	6559	2048	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
A0-dts4608	dts4608	0	22	6559	4608	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
A0-dts8192	dts8192	0	22	6559	8192	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
A0-dts16384	dts16384	0	22	6559	16384	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
A0-dts32768	dts32768	0	22	6559	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P2-dts1024	dts1024	0	140	60394	1024	59	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P2-dts2048	dts2048	0	84	59554	2048	31	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P2-dts4608	dts4608	0	46	58966	4608	12	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P2-dts8192	dts8192	0	40	58876	8192	9	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P2-dts16384	dts16384	0	34	58786	16384	6	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P2-dts32768	dts32768	0	22	58579	32768	0	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
