arm	flow	exit	packets	bytes	dts	chunk_rsp	negotiated	verdict
A0-all	all	0	22	6559	4608	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
A0-obo	obo	0	546	15587	4608	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
A0-vca	vca	0	6	182	4608	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
A0-nochunk	nochunk	0	22	6559	4608	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P384 PqcAsym=- DHE=SECP_384_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
A1-all	all	0	22	7292	4608	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P521 PqcAsym=- DHE=SECP_521_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
A1-obo	obo	0	546	16608	4608	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P521 PqcAsym=- DHE=SECP_521_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
A1-vca	vca	0	6	182	4608	0	Hash=SHA_384 MeasHash=SHA_384 Asym=ECDSA_P521 PqcAsym=- DHE=SECP_521_R1 KEM=- AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P1-all	all	0	40	43337	4608	9	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_44 DHE=- KEM=ML_KEM_512 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P1-obo	obo	0	564	70957	4608	9	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_44 DHE=- KEM=ML_KEM_512 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P1-vca	vca	0	6	182	4608	0	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_44 DHE=- KEM=ML_KEM_512 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P2-all	all	0	46	58966	4608	12	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
P2-obo	obo	0	570	93698	4608	12	Hash=SHA_384 MeasHash=SHA_384 Asym=- PqcAsym=ML_DSA_65 DHE=- KEM=ML_KEM_768 AEAD=AES_256_GCM ReqAsym=ECDSA_P384 ReqPqcAsym=- KeySchedule=HMAC_HASH MeasSpec=DMTF OtherParam=OPAQUE_FMT_1	as-declared
