replay.link.pcap
  observed   link type 291, 379 MCTP packets, 24 messages reassembled
  observed   interface MTU 68, so 64 payload bytes per packet   [read from the link]
  observed   the interface counted tx=367 rx=12 over the same window, tx_dropped=0 rx_errors=0

    type  src>dst tag  msg_bytes  packets  model  rival  verdict
    SPDM    8>9     0          1        1      1      1  ok
    SPDM    9>8     0          8        1      1      1  ok
    SPDM    8>9     0         60        1      1      2* ok
    SPDM    9>8     0          8        1      1      1  ok
    SPDM    8>9     0         63        1      1      2* ok
    SPDM    9>8     0          8        1      1      1  ok
    SPDM    8>9     0         64        2      2      2  ok
    SPDM    9>8     0          8        1      1      1  ok
    SPDM    8>9     0         65        2      2      2  ok
    SPDM    9>8     0          8        1      1      1  ok
    SPDM    8>9     0        119        2      2      3* ok
    SPDM    9>8     0          8        1      1      1  ok
    SPDM    8>9     0        127        2      2      3* ok
    SPDM    9>8     0          8        1      1      1  ok
    SPDM    8>9     0        128        3      3      3  ok
    SPDM    9>8     0          8        1      1      1  ok
    SPDM    8>9     0        177        3      3      3  ok
    SPDM    9>8     0          8        1      1      1  ok
    SPDM    8>9     0       1024       17     17     18* ok
    SPDM    9>8     0          8        1      1      1  ok
    SPDM    8>9     0       4352       69     69     74* ok
    SPDM    9>8     0          8        1      1      1  ok
    SPDM    8>9     0      16853      264    264    286* ok
    SPDM    9>8     0          8        1      1      1  ok

  ★ the model reproduces every observed packet count: 24 SPDM messages, 23129 SPDM bytes, 379 packets at MTU 64
  ★ 7 of 24 messages (*) are lengths at which the subtract-the-header formula would have given a different answer, and it is wrong at every one of them

